,estcodigo,estnome,orgsigla,estlongitude,estlatitude,estaltitude,ini_temp,fim_temp,ini_vento,fim_vento
361,21134346,Barbacena,Inmet,-43.7677,-21.22837,1168.76,2003-03-20,2021-08-25,2003-03-20,2021-08-25
362,19364656,Araxá,Inmet,-46.94962,-19.6057,1018.32,2002-12-19,2021-08-25,2002-12-19,2021-08-25
363,16434353,Montes Claros,Inmet,-43.84376,-16.68632,645.87,2002-12-18,2021-08-25,2002-12-18,2021-08-25
364,18554815,Uberlândia,Inmet,-48.25566,-18.91707,874.77,2003-03-20,2021-08-25,2003-03-20,2021-08-25
365,16174041,Almenara,Inmet,-40.68776,-16.16677,189.11,2006-12-06,2021-08-25,2006-12-06,2021-08-25
366,22514602,Monte Verde,Inmet,-46.04337,-22.8616,1544.89,2004-12-19,2021-08-25,2004-12-19,2021-08-25
367,20464252,Viçosa,Inmet,-42.86401,-20.76261,697.64,2005-09-15,2021-08-25,2005-09-15,2021-08-25
368,19344238,Timóteo,Inmet,-42.62241,-19.57382,493.42,2006-02-24,2021-08-25,2006-02-24,2021-08-25
370,21064223,Muriaé,Inmet,-42.3759,-21.10487,282.79,2006-12-04,2021-08-25,2006-08-29,2021-08-25
371,21464321,Juiz de Fora,Inmet,-43.36433,-21.76997,936.88,2007-06-12,2021-08-25,2007-06-12,2021-08-25
372,19324932,Campina Verde,Inmet,-49.51813,-19.53921,559.07,2006-12-04,2021-08-25,2006-12-04,2021-08-25
373,19594809,Conceição das Alagoas,Inmet,-48.15157,-19.98586,572.54,2006-12-04,2021-08-25,2006-12-04,2021-08-25
374,19534358,Belo Horizonte - Pampulha,Inmet,-43.9694,-19.88395,854.02,2006-12-04,2021-08-25,2006-12-04,2021-08-25
376,19004658,Patrocíonio,Inmet,-46.98594,-18.99668,978.11,2006-12-04,2021-08-25,2006-12-04,2021-08-25
377,20274527,Formiga,Inmet,-45.45383,-20.45493,878.14,2006-12-04,2021-08-25,2006-12-04,2021-08-25
378,19534726,Sacramento,Inmet,-47.4341,-19.87527,913.12,2006-12-04,2021-08-25,2006-12-04,2021-08-25
380,17544131,Teófilo Otoni,Inmet,-41.51542,-17.89284,467.17,2006-12-04,2021-08-25,2006-12-04,2021-08-25
381,18124528,Três Marias,Inmet,-45.45984,-18.20086,931.01,2006-12-04,2021-08-25,2006-12-04,2021-08-25
382,22234457,Passa Quatro,Inmet,-44.96191,-22.3958,1017.1,2007-07-03,2021-08-25,2007-07-03,2021-08-25
383,21554622,Caldas,Inmet,-46.383,-21.91807,1077.34,2007-05-30,2021-08-25,2007-05-30,2021-08-25
384,22184522,Maria da Fé,Inmet,-45.37305,-22.31457,1281.43,2006-12-09,2021-08-25,2006-12-09,2021-08-25
385,18474159,Governador Valadares,Inmet,-41.97701,-18.83035,198.24,2007-07-03,2021-08-25,2007-07-03,2021-08-25
386,18474256,Guanhães,Inmet,-42.94292,-18.78684,852.68,2007-07-03,2021-08-25,2007-07-03,2021-08-25
388,19284535,Dores do Indaiá,Inmet,-45.59393,-19.48194,721.09,2007-07-08,2021-08-25,2007-07-08,2021-08-25
389,18134338,Diamantina,Inmet,-43.64827,-18.23105,1359.25,2007-07-03,2021-08-25,2007-07-03,2021-08-25
390,18444427,Curvelo,Inmet,-44.45379,-18.74771,669.48,2007-07-03,2021-08-25,2007-07-03,2021-08-25
391,15054402,Mocambinho,Inmet,-44.01604,-15.08596,454.0,2007-11-19,2021-08-25,2007-11-19,2021-08-25
394,21544326,Coronel Pacheco,Inmet,-43.26103,-21.54673,411.14,2012-11-07,2021-08-25,2012-11-07,2021-08-25
396,22484341,Seropédica - Ecologia Agrícola,Inmet,-43.68484,-22.75787,34.64,2006-12-04,2021-08-25,2006-12-04,2021-08-25
397,23034336,Rio de Janeiro - Marambaia,Inmet,-43.59569,-23.05033,9.16,2006-12-04,2021-08-25,2006-12-04,2021-08-25
398,22354316,Duque de Caxias - Xerém,Inmet,-43.28223,-22.58981,24.35,2006-12-03,2021-08-25,2006-12-04,2021-08-25
399,21344157,Cambuci,Inmet,-41.95833,-21.58773,59.94,2005-03-25,2021-08-25,2006-12-04,2021-08-25
400,22584200,Arraial do Cabo,Inmet,-42.02145,-22.97547,3.34,2006-12-04,2021-08-25,2006-12-04,2021-08-25
401,21424121,Campos,Inmet,-41.34402,-21.71477,16.67,2006-12-04,2021-08-25,2006-12-04,2021-08-25
402,22234149,Macaé,Inmet,-41.81205,-22.37632,24.61,2006-12-04,2021-08-08,2006-12-04,2021-08-08
403,22274427,Resende,Inmet,-44.44479,-22.45092,438.83,2006-12-04,2021-08-25,2006-12-04,2021-08-25
405,22214342,Valença,Inmet,-43.69566,-22.35809,367.21,2006-12-04,2021-08-25,2006-12-04,2021-08-25
406,20164018,Vitória,Inmet,-40.30607,-20.27109,9.0,2006-12-04,2021-08-25,2006-12-04,2021-08-25
407,19594035,Santa Teresa,Inmet,-40.57957,-19.98839,975.92,2000-01-01,2021-08-25,2000-01-01,2021-08-25
408,19214004,Linhares,Inmet,-40.06868,-19.35692,37.82,2006-12-04,2021-08-25,2006-12-04,2021-08-25
409,20384044,Alfredo Chaves,Inmet,-40.74182,-20.63653,14.19,2006-12-04,2021-08-25,2006-12-04,2021-08-25
410,18423950,São Mateus,Inmet,-39.86405,-18.6762,28.66,2006-12-01,2021-08-25,2006-12-01,2021-08-25
411,22264259,Teresópolis - Parque Nacional,Inmet,-42.98715,-22.44892,991.44,2007-07-03,2021-08-25,2007-07-03,2021-08-25
412,23134443,Paraty,Inmet,-44.72686,-23.22354,3.0,2007-03-30,2021-08-25,2007-03-30,2021-08-25
413,22374105,Campos - São Tomé,Inmet,-41.05187,-22.04165,7.18,2008-06-13,2021-08-25,2008-06-13,2021-08-25
414,22514324,Rio de Janeiro - Vila Militar,Inmet,-43.41141,-22.86132,30.43,2007-07-03,2021-08-25,2007-07-03,2021-08-25
415,21104103,Presidente Kennedy,Inmet,-41.0394,-21.10081,69.12,2008-06-18,2021-08-25,2008-06-17,2021-08-25
416,18694039,Nova Venécia,Inmet,-40.39057,-18.69527,156.02,2008-06-21,2021-08-25,2008-06-21,2021-08-25
417,22274252,Nova Friburgo-Salinas,Inmet,-42.67693,-22.33484,1065.08,2010-10-02,2021-08-25,2010-10-02,2021-08-25
418,22984319,Rio de Janeiro - Forte de Copacabana,Inmet,-43.19044,-22.98829,25.59,2007-07-03,2021-08-25,2007-07-03,2021-08-25
420,22644260,Silva Jardim,Inmet,-42.41578,-22.64591,19.0,2015-08-28,2021-08-25,2015-08-28,2021-08-25
421,22874261,Saquarema - Sampaio Correia,Inmet,-42.60922,-22.87132,26.0,2015-09-02,2021-08-25,2015-09-02,2021-08-25
422,23304637,São Paulo (Mirante de Santana),Inmet,-46.62009,-23.49629,785.64,2006-12-04,2021-08-25,2006-12-04,2021-08-25
423,20275436,Campo Grande,Inmet,-54.72262,-20.4472,528.47,2006-12-04,2021-08-25,2006-12-04,2021-08-25
424,22325532,Ponta Porã,Inmet,-55.71632,-22.55245,668.0,2000-01-01,2021-08-25,2000-01-01,2021-08-25
425,23245155,Maringá,Inmet,-51.93283,-23.40536,548.51,2006-12-04,2021-08-25,2006-11-21,2021-08-25
426,20465142,Três Lagoas,Inmet,-51.7122,-20.79,328.94,2006-12-04,2021-08-25,2006-12-04,2019-12-03
427,22184942,Bauru,Inmet,-49.02888,-22.35805,636.17,2006-12-04,2021-08-25,2006-12-04,2021-08-25
428,22454536,Campos do Jordão,Inmet,-45.60384,-22.75023,1662.95,2006-09-28,2021-08-25,2006-09-28,2021-08-25
429,22075124,Presidente Prudente,Inmet,-51.40864,-22.11987,431.92,2006-12-04,2021-08-25,2006-12-04,2021-08-25
430,20344722,Franca,Inmet,-47.38255,-20.58448,1002.74,2006-12-04,2021-08-25,2006-12-04,2021-08-25
431,22185349,Ivinhema,Inmet,-53.8229,-22.30042,377.36,2006-12-04,2021-08-25,2006-12-04,2021-08-25
433,21574752,São Carlos,Inmet,-47.88393,-21.98035,859.29,2007-07-14,2021-08-25,2007-07-14,2021-08-25
434,24434733,Iguape,Inmet,-47.5459,-24.67165,2.7,2006-12-04,2021-08-25,2006-12-04,2021-08-25
435,23214740,Sorocaba,Inmet,-47.58555,-23.42604,609.33,2000-01-01,2021-08-25,2000-01-01,2021-08-25
436,23514809,São Miguel Arcanjo,Inmet,-48.16482,-23.85202,675.68,2000-01-01,2021-08-25,2000-01-01,2021-08-25
438,22125053,Rancharia,Inmet,-50.97471,-22.37283,398.75,2006-12-04,2021-08-25,2006-12-04,2021-08-25
439,20285547,Aquidauana,Inmet,-55.78401,-20.47542,151.35,2006-12-04,2021-07-02,2006-12-04,2021-07-02
441,22115454,Dourados,Inmet,-54.91136,-22.19392,463.3,2006-12-04,2021-08-07,2006-12-04,2021-08-07
443,21425753,Porto Murtinho,Inmet,-57.88655,-21.70585,78.56,2006-12-04,2021-08-13,2006-12-04,2021-08-13
449,20244957,Votuporanga,Inmet,-49.96603,-20.40322,510.37,2007-07-03,2021-08-25,2007-07-03,2021-08-25
452,20095035,Jales,Inmet,-50.59513,-20.16503,460.44,2007-08-26,2021-08-24,2007-08-26,2021-08-24
453,21195055,Valparaiso,Inmet,-50.93016,-21.31914,381.9,2007-08-29,2021-08-25,2007-08-29,2021-08-25
455,21084850,Ariranha,Inmet,-48.84043,-21.13294,525.44,2007-11-19,2021-08-25,2007-11-19,2021-08-25
456,21514848,Ibitinga,Inmet,-48.79972,-21.85557,496.75,2007-11-19,2021-08-25,2007-11-19,2021-08-25
460,22374855,Barra Bonita,Inmet,-48.55757,-22.47121,533.68,2008-05-02,2021-08-25,2008-05-02,2021-08-25
461,19315172,Cassilândia,Inmet,-51.72073,-19.12247,494.72,2008-03-11,2021-08-25,2008-03-11,2021-03-31
462,21775452,Rio Brilhante,Inmet,-54.52811,-21.77494,324.31,2008-06-23,2021-08-25,2008-06-23,2021-08-25
463,21354816,Pradópolis,Inmet,-48.11401,-21.33843,540.41,2008-04-24,2021-08-25,2008-04-24,2021-08-25
467,23445418,Itaquiraí,Inmet,-54.18186,-23.4495,337.82,2008-06-01,2021-08-25,2008-06-01,2021-08-25
468,20354777,Ituverava,Inmet,-47.77522,-20.35976,610.58,2008-07-16,2021-08-25,2008-07-17,2021-08-25
469,20985497,Sidrolândia,Inmet,-54.97187,-20.98164,471.43,2008-09-29,2021-08-25,2008-09-29,2021-08-25
470,23524686,Baruerí,Inmet,-46.86945,-23.52389,776.5,2011-03-23,2021-08-25,2011-03-23,2021-08-25
471,20445287,Água Clara,Inmet,-52.87583,-20.44444,323.63,2010-08-12,2021-08-25,2010-08-12,2021-08-25
472,22105654,Bela Vista,Inmet,-56.54076,-22.10154,206.09,2011-08-08,2021-07-19,2011-08-08,2019-10-15
475,30035110,Porto Alegre,Inmet,-51.17477,-30.05354,41.18,2006-08-16,2021-08-25,2006-08-16,2021-08-25
476,32015206,Rio Grande,Inmet,-52.16774,-32.07878,4.92,1993-06-14,2021-08-25,1993-06-14,2021-08-25
477,29425342,Santa Maria,Inmet,-53.72047,-29.72496,103.1,2006-12-04,2021-08-25,2006-12-04,2021-05-07
479,27515347,Santo Augusto,Inmet,-53.79118,-27.85435,489.67,2006-12-04,2021-08-25,2006-12-04,2021-08-25
480,27364836,Florianópolis-São José,Inmet,-48.6201,-27.60253,4.87,2006-12-04,2021-08-25,2006-12-04,2021-08-25
481,25264913,Curitiba,Inmet,-49.2306,-25.44869,922.91,2006-12-04,2021-08-25,2006-12-04,2021-08-25
482,29214943,Torres,Inmet,-49.73326,-29.35036,8.44,1991-02-19,2021-08-25,1991-02-19,2021-08-25
483,29505704,Uruguaiana,Inmet,-57.0819,-29.83987,74.29,2006-12-04,2021-08-25,2006-12-04,2021-08-25
484,27535428,Santa Rosa,Inmet,-54.48001,-27.89046,272.84,2006-12-04,2021-08-20,2006-12-04,2021-08-20
485,31245242,Canguçu,Inmet,-52.7007,-31.4033,446.81,2006-12-24,2021-08-25,2006-12-24,2021-08-25
486,30325328,Caçapava do Sul,Inmet,-53.46705,-30.54532,420.82,2006-12-04,2021-07-05,2006-12-04,2021-07-05
487,29525222,Rio Pardo,Inmet,-52.38198,-29.87211,106.99,2006-12-04,2021-08-25,2006-12-04,2021-08-25
488,28314919,Urussanga,Inmet,-49.31521,-28.53256,40.56,2002-07-01,2021-08-25,2002-07-01,2021-08-25
489,28184956,São Joaquim,Inmet,-49.93462,-28.27564,1400.06,1994-12-31,2021-08-25,1994-12-31,2021-08-25
490,26405285,Novo Horizonte,Inmet,-52.85037,-26.4065,943.57,2009-12-31,2021-08-24,2009-12-31,2021-08-24
493,24325101,Marechal Cândido Rondon,Inmet,-54.01925,-24.5333,392.07,2006-12-04,2021-08-25,2006-11-18,2021-08-25
494,23304956,Joaquim Távora,Inmet,-49.94639,-23.50527,512.67,2006-12-04,2021-08-25,2006-11-24,2021-08-25
495,25335105,Inácio Martins,Inmet,-51.07795,-25.56788,1208.85,2006-12-04,2021-08-25,2006-10-17,2021-08-25
498,29425531,Alegrete,Inmet,-55.52549,-29.70908,120.88,2006-12-04,2021-08-25,2006-10-02,2021-08-25
500,27395218,Erechim,Inmet,-52.30581,-27.65771,777.08,1991-02-19,2021-08-25,1991-02-19,2021-08-25
501,28455003,São José dos Ausentes,Inmet,-50.05787,-28.74862,1228.59,2006-12-04,2021-08-25,2006-10-26,2021-05-17
502,28385600,São Borja,Inmet,-56.01629,-28.65009,81.08,2000-01-01,2021-08-25,2007-05-08,2021-08-25
503,30235627,Quaraí,Inmet,-56.43712,-30.36858,113.05,2007-10-17,2021-08-25,2007-10-17,2021-08-25
504,30205419,São Gabriel,Inmet,-54.31091,-30.34144,114.89,2007-10-11,2021-08-25,2007-10-11,2021-08-25
505,29195447,Santiago,Inmet,-54.88565,-29.1916,390.03,2009-02-04,2021-08-25,2009-02-04,2021-05-21
506,30505013,Tramandaí,Inmet,-50.13589,-30.01027,4.56,2008-03-07,2021-08-25,2008-04-24,2021-08-25
507,32335322,Jaguarão,Inmet,-53.37586,-32.53483,31.48,2000-01-01,2021-08-25,2000-01-01,2021-08-25
508,28485255,Soledade,Inmet,-52.54239,-28.85921,660.44,2008-03-11,2021-08-25,2008-03-11,2021-08-25
509,30485150,Camaquã,Inmet,-51.83424,-30.80795,92.3,2007-03-30,2021-08-25,2006-12-13,2021-08-25
510,28135224,Passo Fundo,Inmet,-52.40358,-28.22681,680.67,2007-03-31,2021-08-25,2006-11-27,2021-08-25
511,29105132,Bento Gonçalves,Inmet,-51.5342,-29.16458,623.27,2006-12-08,2021-08-25,2006-12-01,2021-08-25
512,27105133,Joaçaba,Inmet,-51.55896,-27.16927,767.63,2007-09-20,2021-08-25,2007-09-20,2021-08-25
515,28135130,Lagoa Vemelha,Inmet,-51.51285,-28.22238,833.83,2007-03-01,2021-08-25,2007-03-01,2021-08-25
516,28074928,Morro da Igreja (Bom Jardim da Serra),Inmet,-49.47961,-28.12699,1790.38,2007-07-03,2021-08-25,2007-06-17,2021-08-25
518,26285363,Dionísio Cerqueira,Inmet,-53.63311,-26.28656,807.54,2008-06-02,2021-08-25,2008-06-02,2021-08-25
523,28365340,Cruz Alta,Inmet,-53.6736,-28.60344,426.69,2007-07-03,2021-08-25,2007-05-31,2021-08-25
526,27915332,Palmeira das Missões,Inmet,-53.31805,-27.92038,614.11,2008-02-27,2021-08-25,2008-02-27,2021-08-25
527,26445242,Xanxerê,Inmet,-52.39809,-26.93867,878.74,2008-03-14,2021-08-25,2008-03-14,2021-08-25
528,26445084,Caçador,Inmet,-50.98552,-26.81916,944.26,2008-03-18,2021-08-25,2008-03-18,2021-08-25
529,27285061,Curitibanos,Inmet,-50.60428,-27.28862,978.1,2008-02-28,2021-08-25,2008-02-28,2021-08-25
530,26445015,Rio do Campo,Inmet,-50.14545,-26.93753,591.67,2008-03-11,2021-08-25,2008-03-11,2021-08-25
531,26434959,Rio Negrinho,Inmet,-49.58062,-26.24841,856.89,2008-03-21,2021-08-25,2008-03-21,2021-08-25
533,26395036,Major Vieira,Inmet,-50.36321,-26.39366,799.58,2009-02-10,2021-08-25,2009-02-10,2021-08-25
535,28934949,Araranguá,Inmet,-49.49792,-28.93135,2.0,2008-09-28,2021-08-25,2008-09-28,2021-08-25
537,23385294,Cidade Gaúcha,Inmet,-52.93191,-23.35916,365.79,2008-03-11,2021-08-25,2008-03-11,2021-08-25
541,25424883,Morretes,Inmet,-48.80868,-25.50894,50.31,2008-03-13,2021-08-25,2008-03-13,2021-08-25
542,26445135,General Carneiro,Inmet,-51.35367,-26.39847,1009.01,2008-04-10,2021-08-25,2008-04-10,2021-08-25
543,26445235,Clevelândia,Inmet,-52.34874,-26.4172,966.06,2008-05-15,2021-08-25,2008-05-15,2021-08-25
545,10083834,Jeremoabo,Inmet,-38.3459,-10.0807,261.0,2015-08-12,2021-08-25,2015-08-12,2021-08-25
548,29365082,Canela,Inmet,-50.82723,-29.36879,830.93,2008-08-23,2021-08-25,2008-08-23,2021-08-25
549,28485149,Vacaria,Inmet,-50.88274,-28.5136,969.89,2008-04-26,2021-08-25,2008-04-25,2021-08-25
551,29455182,Teutônia,Inmet,-51.82428,-29.45033,80.41,2012-10-21,2021-08-25,2012-10-21,2021-08-25
552,28655311,Ibirubá,Inmet,-53.11188,-28.65346,455.27,2012-12-18,2021-07-22,2012-12-18,2021-07-22
553,29675106,Campo Bom,Inmet,-51.06404,-29.67429,23.35,2013-12-09,2021-08-25,2013-12-09,2021-08-25
554,18495316,Costa Rica,Inmet,-53.17126,-18.49267,727.34,2012-12-03,2021-08-25,2012-12-03,2021-08-25
559,14204274,Guanambi,Inmet,-42.74965,-14.20812,552.23,2011-12-15,2021-08-24,2011-12-15,2021-08-24
560,20034401,Ibirité (Rola Moça),Inmet,-44.01125,-20.03146,1198.82,2008-06-06,2021-08-25,2008-06-06,2021-08-25
564,33565337,Chuí,Inmet,-53.37222,-33.7423,7.41,2008-03-14,2021-08-25,2008-03-14,2021-08-25
565,15375606,Cuiabá,Inmet,-56.06295,-15.5593,241.56,2011-10-23,2021-08-25,2011-10-23,2021-01-31
568,16275434,Rondonópolis,Inmet,-54.58015,-16.46242,289.88,2000-01-01,2021-08-25,2000-01-01,2021-08-25
577,11225843,Juína,Inmet,-58.77479,-11.37513,365.39,2011-10-23,2021-08-25,2011-10-23,2021-08-25
578,11415053,São Félix do Araguaia,Inmet,-50.72786,-11.61902,201.37,2011-10-23,2021-08-25,2011-10-23,2021-08-25
587,12736015,Vilhena,Inmet,-60.15778,-12.73486,583.3,2011-11-28,2021-08-25,2011-11-28,2020-10-04
588,11446143,Cacoal,Inmet,-61.43415,-11.44584,183.53,2011-11-28,2021-07-10,2011-11-28,2021-07-10
